ENSEMBL_GENE_ID	Name	Species
ENSMUSG00000073609	D-2-hydroxyglutarate dehydrogenase(D2hgdh)	Mus musculus
ENSMUSG00000026255	EF hand domain containing 1(Efhd1)	Mus musculus
ENSMUSG00000095407	transmembrane protein 200C(Tmem200c)	Mus musculus
ENSMUSG00000026155	small ArfGAP 1(Smap1)	Mus musculus
ENSMUSG00000034035	coiled-coil domain containing 17(Ccdc17)	Mus musculus
ENSMUSG00000045555	methyltransferase like 24(Mettl24)	Mus musculus
ENSMUSG00000028015	cathepsin O(Ctso)	Mus musculus
ENSMUSG00000040124	golgin, RAB6-interacting(Gorab)	Mus musculus
ENSMUSG00000060275	neuregulin 2(Nrg2)	Mus musculus
ENSMUSG00000004880	lamin B receptor(Lbr)	Mus musculus
ENSMUSG00000026080	carbohydrate sulfotransferase 10(Chst10)	Mus musculus
ENSMUSG00000036875	DNA replication helicase/nuclease 2(Dna2)	Mus musculus
ENSMUSG00000071064	zinc finger protein 827(Zfp827)	Mus musculus
ENSMUSG00000013275	solute carrier family 41, member 1(Slc41a1)	Mus musculus
ENSMUSG00000041842	FH2 domain containing 1(Fhdc1)	Mus musculus
ENSMUSG00000042197	zinc finger protein 451(Zfp451)	Mus musculus
ENSMUSG00000036206	SH3-domain binding protein 4(Sh3bp4)	Mus musculus
ENSMUSG00000010290	expressed sequence AI597479(AI597479)	Mus musculus
ENSMUSG00000028085	glutamyl-tRNA(Gln) amidotransferase, subunit B(Gatb)	Mus musculus
ENSMUSG00000026434	nuclear casein kinase and cyclin-dependent kinase substrate 1(Nucks1)	Mus musculus
ENSMUSG00000062169	cornichon family AMPA receptor auxiliary protein 4(Cnih4)	Mus musculus
ENSMUSG00000051000	FHF complex subunit HOOK interacting protein 1A(Fhip1a)	Mus musculus
ENSMUSG00000004896	ribosomal RNA adenine dimethylase domain containing 1(Rrnad1)	Mus musculus
ENSMUSG00000044340	PH domain and leucine rich repeat protein phosphatase 1(Phlpp1)	Mus musculus
