HGNC	Mouse symbol	EnsembleID	baseMean	WT1	WT2	WT3	WT4	HT1	HT2	HT3	HT4	HM1	HM2	HM3	HM4
NPY	Npy	ENSMUSG00000029819	1328.47656365959	1479.17279072849	1503.64466749868	1459.60883765969	1645.34519276774	1096.04465652391	1171.2847410228	1211.75756600776	1142.16929281302	1294.24486233322	1288.35846637155	1340.21998120535	1309.86770898283
MYL12B	Myl12b	ENSMUSG00000034868	3343.38603493132	4084.05681596182	3813.41535119552	3691.09850752555	3924.73011669627	2782.17121941962	2884.28385932463	3123.44271739257	3134.53035595633	3316.90279732054	3171.08391855094	2964.10671342746	3230.81004640459
RPL35A	Rpl35a	ENSMUSG00000060636	1734.92589638365	1897.84053624837	2005.41258250669	1915.85714786544	2001.30871119903	1571.36402462281	1626.68829125968	1630.10449477739	1581.15368410362	1644.97914650093	1616.77071249913	1672.44968539645	1655.18173962424
SHANK2	Shank2	ENSMUSG00000037541	4937.49274216562	7555.97686093463	7005.25585744924	6639.86070224212	7310.77776812903	5309.63192950384	5100.78897849897	4227.36216361754	4277.0315890086	2967.95482346573	2706.95840808891	2662.16944669523	3486.14437835359
COX8A	Cox8a	ENSMUSG00000035885	7265.01115400728	7857.14735398759	8156.85301614749	8102.19195976967	8950.92488334576	6710.14559023936	6457.85167267166	6327.1845297986	6734.24846944122	7071.8800996947	6612.33871470603	6722.73093362802	7476.63662465732
MT-ND6	mt-Nd6	ENSMUSG00000064368	33043.3413049056	32450.706256933	38844.149304783	37094.4282499905	39063.10917064	29944.1904935821	29146.3949512758	28506.1229402724	28498.7713139863	35218.7677719157	31741.6716983047	33345.4660604062	32666.3174467772
PRRT2	Prrt2	ENSMUSG00000045114	6997.85750918525	7888.6760769493	8125.04165229697	7966.35007349613	7225.04891787453	6374.56977296457	6547.3082688088	6417.48437891547	6728.11951887178	6663.79024948527	6859.09092853418	6461.01211256438	6717.79815946161
GSTM3	Gstm5	ENSMUSG00000004032	2266.43051004187	2418.41405157864	2489.79708599887	2462.95294126628	2454.04088564321	1969.30853537163	2150.98965355258	2054.86821120884	2086.69241497558	2319.19551252342	2313.75263135977	2164.34354427116	2312.81065275245
CXADR	Cxadr	ENSMUSG00000022865	1136.31717062488	1001.32788478366	927.982738927012	1016.9472361023	1008.79258508844	1299.42186085725	1217.76045436807	1393.97667662446	1234.45481333908	1145.65623848092	1072.35941828101	1237.0504545679	1080.07568607843
MT2A	Mt2	ENSMUSG00000031762	1459.57027244873	1614.59974047636	1962.25037764376	1910.92099297119	1733.90512062299	1050.02796215396	1102.81455254278	1309.20682830837	1300.61116597432	1223.61177594933	1346.89652611732	1275.6282177885	1684.3700088359
ARFGEF3	Arfgef3	ENSMUSG00000019852	6559.70627933065	6355.77442789858	5755.65029346749	5959.52150714434	5647.2437747667	7285.99038498923	7152.76743292664	7162.32150507176	6925.08649770637	6359.30004892006	6906.17746045811	6416.74604272013	6789.89597589844
ZNF483	Zkscan16	ENSMUSG00000038630	1157.09127363918	1065.07491222572	1009.37563063297	1034.68949597495	927.048113532712	1263.90749437737	1341.17269921605	1321.31202124012	1199.4948811028	1205.73761711113	1160.26394940107	1133.92991481806	1223.08855403726
RPS8	Rps8	ENSMUSG00000047675	4290.14504520397	4478.62409692825	4914.37362301857	4739.30613907514	4920.87006260797	3927.84590611484	4014.70502276345	4011.77188962079	4191.71786342874	4148.34671304097	4118.26190774222	4052.1552665276	3963.76205157904
