HGNC	Mouse symbol	EnsembleID	baseMean	log2FC.HT	FC.HT	p-value.HT	adjusted p-value.HT	log2FC.HM	FC.HM	p-value.HM	adjusted p-value.HM
NPY	Npy	ENSMUSG00000029819	1328.47656365959	-0.399217897645297	-1.31879278350192	1.20368002892382e-12	1.34860310440625e-08	-0.218805816973082	-1.16376988343894	7.84692911338454e-05	0.0116003768726202
MYL12B	Myl12b	ENSMUSG00000034868	3343.38603493132	-0.379391788874527	-1.3007933515951	1.43930500984794e-11	8.06298666516817e-08	-0.290337334999127	-1.2229261922949	2.25254372617553e-07	0.000163473241509629
RPL35A	Rpl35a	ENSMUSG00000060636	1734.92589638365	-0.28846702702031	-1.22134181957747	2.86245065891437e-11	1.06902990608255e-07	-0.248081807682839	-1.18762700827414	8.27060204548731e-09	1.10040360215209e-05
SHANK2	Shank2	ENSMUSG00000037541	4937.49274216562	-0.591869373844397	-1.50719843688378	2.1589678019827e-10	6.04726881335355e-07	-1.27025932630231	-2.41204918538194	5.35098234785993e-42	8.54337841659317e-38
COX8A	Cox8a	ENSMUSG00000035885	7265.01115400728	-0.334245093213007	-1.26071755123647	5.30573752066488e-10	1.18890966363059e-06	-0.246336862505714	-1.18619143719868	4.52913097647813e-06	0.00157361190339239
MT-ND6	mt-Nd6	ENSMUSG00000064368	33043.3413049056	-0.344991606324012	-1.27014359275474	4.36234167614928e-09	7.05377643848827e-06	-0.149230264118441	-1.1089776299874	0.011083176924718	0.208181179741233
PRRT2	Prrt2	ENSMUSG00000045114	6997.85750918525	-0.259567965619716	-1.19712015724811	4.40703633250784e-09	7.05377643848827e-06	-0.224745107957369	-1.16857076992496	3.70182415840758e-07	0.000229583295147083
GSTM3	Gstm5	ENSMUSG00000004032	2266.43051004187	-0.251318452642451	-1.19029440641267	1.36974487760989e-08	1.56220301876452e-05	-0.109565214378109	-1.07890303803398	0.0125519628922449	0.221512481748654
CXADR	Cxadr	ENSMUSG00000022865	1136.31717062488	0.379800007170983	1.3011614701259	1.42864844682328e-08	1.56220301876452e-05	0.197280545982042	1.14653511887727	0.00338797322344348	0.111992506181157
MT2A	Mt2	ENSMUSG00000031762	1459.57027244873	-0.601303779384361	-1.5170869553755	1.50234318389121e-08	1.56220301876452e-05	-0.385877612871863	-1.30665440270247	0.000265389454197384	0.0250259222377523
ARFGEF3	Arfgef3	ENSMUSG00000019852	6559.70627933065	0.266775484824269	1.2031157800727	1.58600160866447e-08	1.56220301876452e-05	0.159055721129719	1.11655608583291	0.00075847362723093	0.0488297981143913
ZNF483	Zkscan16	ENSMUSG00000038630	1157.09127363918	0.34516044838577	1.27029224940522	1.67319138032615e-08	1.56220301876452e-05	0.226902359708483	1.17031943263677	0.000215674685749274	0.0221021652738853
RPS8	Rps8	ENSMUSG00000047675	4290.14504520397	-0.239551051707014	-1.18062520875488	1.82377160519467e-08	1.57181054343085e-05	-0.227205265026991	-1.17056517632319	8.73940739652075e-08	7.52916374730358e-05
