Mouse symbol	FC.old	log2FC.old	fdr.old	log10.old	significant.level.old	FC.new	log2FC.new	fdr.new	log10.new	significant.level.new	grouping
Shank2	-2.41204918538194	-1.27025932630231	8.5433784165931705e-038	37.068370356764916	3	-2.36586114382664	-1.24236540208373	1.47487042783876e-22	21.83124613219187	3	both
Ccnd1	-2.58749517180186	-1.37155617058336	3.31825664282388e-20	19.47909002751845	3	-1.65216871991053	-0.724361022683015	9.78908665301253e-7	6.009257827099918	3	both
Pvalb	-1.38320795872551	-0.468018075120019	7.52916374730358e-5	4.12325325754428	3	-1.4718615885871	-0.55764200913424	0.00784856459451975	2.1052097630867137	3	both
Nrp2	1.21358433497132	0.279274368412615	0.0455836524682368	1.3411908791721308	2	1.27901216781896	0.355029989292709	0.0318089314705177	1.4974509195204941	2	both
Scn7a	1.43671481303494	0.52277371617758694	7.5306604907431e-4	3.123166931514378	3	1.47516057221513	0.560872001342292	0.00784856459451975	2.1052097630867137	3	both
Myl4	-1.43935489750326	-0.525422357012562	7.36722568201074e-8	7.132696026093169	3	-1.50164421712756	-0.586543037228318	2.29535767946877e-4	3.639149629901893	3	both
Rph3a	-1.15015477290357	-0.201828013409685	4.41794326877046e-4	3.3547798652455096	3	-1.25684755679347	-0.329809675697045	1.97017785713739e-5	4.705494566281699	3	both
Igfbp4	-1.48122195651829	-0.566787840205007	4.4911585842930697e-005	4.3476416095849295	3	-1.33123509599919	-0.412765373565014	0.00276916934438331	2.557650484816943	3	both
Krt80	-2.41044692731781	-1.2693006651466	1.77137770709229e-9	8.751688825249124	3	-2.27744707424733	-1.18741752752541	7.06926639398105e-9	8.150625652338405	3	both
Stac2	-1.23696594061199	-0.306805776800414	1.69290965811509e-8	7.771366217336409	3	-1.3159213487936	-0.39607326331606	9.20571534561844e-4	3.035942458264384	3	both
Synpr	1.23034917279304	0.299067810172758	0.0235492819225511	1.6280223310755626	2	1.29887995009718	0.377268094832708	7.54467262491648e-4	3.122359600192816	3	both
Col15a1	-1.55328582592578	-0.635323329856214	0.0435514741589526	1.3609971401221466	2	-1.95825000680354	-0.969564963384265	6.5861063035161e-4	3.1813712638066396	3	both
Hrk	1.26831292047904	0.342910733748286	0.00453459674080976	2.343461328455731	3	1.42447445816087	0.510429753346563	0.00409461168172232	2.3877872788807997	3	both
Nnat	1.21310356231935	0.278702718196985	0.00208484646327739	2.6809259227557583	3	1.7404383333671	0.799450697875697	0.00435786003242413	2.3607267227180397	3	both
Col1a2	-1.34548718411967	-0.428128649250316	0.0248857323387206	1.604049574289643	2	1.24792345591551	0.319529446092983	0.0498960247476832	1.3019340535532935	2	both
Diras2	-1.18819131742743	-0.248767151358733	0.019565092639433	1.708518091402488	2	-1.26916628953543	-0.343881107296385	9.20571534561844e-4	3.035942458264384	3	both
