HGNC	Mouse symbol	EnsembleID	baseMean	WT1	WT2	WT3	WT4	WT5	Shank2_HT-1_CTX	Shank2_HT-3_CTX	Shank2_HT-4_CTX	Shank2_HT-5_CTX	Shank2_HT-6_CTX	Shank2_HM-2_CTX	Shank2_HM-3_CTX	Shank2_HM-4_CTX	Shank2_HM-6_CTX	Shank2_HM-7_CTX
ST8SIA2	St8sia2	ENSMUSG00000025789	158.613559294654	86.1401360650129	86.7029392117261	115.313702375358	107.203699262011	103.203211560739	159.810725823826	257.634380159333	212.496927145274	107.171492176354	221.684114225277	168.73894038982	204.818558335063	152.027312974164	179.755554763338	216.50169495251
SHANK2	Shank2	ENSMUSG00000037541	4294.465230018	5696.32343594499	7331.54785084338	6491.56701172491	5635.17617487585	5389.72164854268	3818.02065728235	5107.20692892365	3640.95608482917	4065.70296680904	4331.3980434297	2561.32311155763	3042.44112171691	2771.59068848312	1974.57741286175	2559.42531244485
LFNG	Lfng	ENSMUSG00000029570	501.955624592274	643.668584784922	599.503382581055	453.527102566468	584.170041289814	627.898698446762	385.198569940746	375.186441878353	403.88850266704	463.75466226982	480.399714739627	539.374345401032	490.279367835601	595.207775263894	446.293130398237	440.984048820738
CEP350	Cep350	ENSMUSG00000033671	1691.29520218551	1774.18036508596	1549.48805295639	1475.18004213334	1508.93460877441	1761.79412252987	2104.38473739668	1866.67669341267	1894.22136469804	1887.60568160154	1935.53525057178	1513.9932462265	1511.26638956138	1484.82772907554	1455.95289148303	1645.38685727548
LRRC47	Lrrc47	ENSMUSG00000029028	1215.27287562167	1122.9692026843	1053.67014412817	1166.20632611643	1066.01730493885	1125.26576625849	1275.62743959516	1283.93911368191	1289.68244731715	1175.88014460998	1347.73803805687	1238.50740761689	1222.73567455981	1291.60767552265	1266.47158133841	1302.77486789998
SST	Sst	ENSMUSG00000004366	3097.77008623523	3202.5137238112	3438.7977378644	3598.99467226773	3475.02978497867	3316.50475462404	3111.40042824788	2740.83549279726	2785.5136338136	2933.84242398066	2979.96735862569	3011.73209727595	3024.57450037751	3030.75682399225	3200.63667355832	2615.45118731324
CD84	Cd84	ENSMUSG00000038147	84.4061166264811	91.252412643015	97.1071236866894	169.228239302512	68.7993890110587	106.020709748647	47.1688181572178	65.5781589859298	78.3677952486264	42.502150524113	60.3499739138092	85.7360385088995	90.9629675927531	109.154948892833	77.0154552018737	76.8475679792392
NDUFB7	Ndufb7	ENSMUSG00000033938	951.130681896212	966.877779420328	1068.86233142922	1035.20279504966	1033.22806548401	1004.80964641158	860.221457410103	902.390361824751	913.937231328448	856.615303319954	878.522262124316	921.615630234085	1047.7147242844	901.402063652305	896.346258281445	979.214318188578
MYL4	Myl4	ENSMUSG00000061086	372.987990378569	514.589397710599	531.076679701053	484.766959064486	348.305879172716	427.097403025203	352.397475186659	323.472811416317	351.748171109372	336.712074516422	387.903644545353	343.081241790222	288.040867469533	308.406761166531	267.517762198347	329.702727605725
FAM43A	Fam43a	ENSMUSG00000046546	292.885326501153	362.035282567582	362.210368032802	309.843839632023	365.785982167795	332.759395038194	329.189770651387	268.725091825847	266.168350055031	249.685756819048	252.525222753747	241.113323691958	264.33619469163	298.156389013531	247.695928851091	243.049001725629
BRCA2	Brca2	ENSMUSG00000041147	141.575691262666	76.8541351239504	93.5715007905366	94.0841038067321	136.489083554482	103.981063183541	205.962945809015	166.907156019437	230.160300763559	94.0334432960836	152.958348597487	198.495888339416	133.153770221603	119.152185685468	164.505243453136	153.326200295538
TBC1D17	Tbc1d17	ENSMUSG00000038520	984.572441392592	1032.56550664832	1117.40906364401	1099.93460416576	1088.77983458677	940.327073166565	1005.82137934928	882.034193071992	881.707193627913	941.920828082732	857.362784760957	1021.03633315284	971.13879513802	981.172994259782	989.467983408212	957.908053825727
LGALS1	Lgals1	ENSMUSG00000068220	219.601828478588	273.211252390134	221.283817506626	300.493677396947	236.346163463103	220.587463293994	197.393011472508	177.041306050721	208.780333660754	181.542608911215	191.830206769707	228.730920557159	246.355806055013	190.180357022901	232.558906679579	187.691595948459
MT-ND4L	mt-Nd4l	ENSMUSG00000065947	28329.001783996	29912.0965085248	38685.7375024824	33832.7856035861	30651.1429863336	25537.1862049281	24417.3913655717	30777.5126038468	25532.4008131564	18781.5280590546	17276.3013805054	32150.3992163054	31732.8866136417	28254.0719561184	29098.3584788074	28295.2274670775
C1QTNF9B	C1qtnf9	ENSMUSG00000071347	9.6643826085233	16.9405681540836	15.7921254511696	15.98847263866	13.4680896534986	11.6008896063246	2.78363847457488	2.26373408286867	5.27737496012975	7.25581854987153	8.28845783494228	10.5248795662535	5.90692097094376	15.1382407907655	5.69165749337128	8.04487090039183
GALNT15	Galnt15	ENSMUSG00000021903	154.054133879012	227.453869039618	329.677616945314	115.114482602875	234.34558440722	166.863670083346	126.048429286498	77.0935345944129	141.40756419718	139.802356745686	137.130638905921	134.218678894946	78.7298366084945	156.115510531076	124.789265844573	122.020969498019
CD4	Cd4	ENSMUSG00000023274	16.7458823989156	11.7342355461009	18.499107760641	9.32157943698368	10.7833095811287	9.39639333322861	28.8244351437084	33.6002636424536	15.1557172662609	25.3774439712851	34.8301693327937	4.66329929687745	23.2845125236951	5.56707587346386	9.25685874783974	10.8938345272738
ZNF705A	Clec4a1	ENSMUSG00000049037	7.44351825003764	8.03644724591987	17.3009488871286	13.5791880986149	9.16371684838797	8.58555451125113	1.86063586587901	2.16906360659077	5.43906439232023	2.13306024827014	5.38986182375611	NA	NA	NA	NA	NA
ATOX1	Atox1	ENSMUSG00000018585	351.956590273843	395.304132003359	461.024054545955	394.843277681191	381.46952540126	325.434719787072	309.544180723216	333.17557874341	304.374041907647	326.329979633577	287.883044430413	329.870627130093	399.179402621721	344.871518666095	383.851269516887	302.193501315755
ELOB	Elob	ENSMUSG00000055839	1629.38754255605	1652.95358116	1718.20947852209	1753.60012501551	1742.25542936158	1586.82461121039	1458.09209134003	1568.01572930978	1532.96234089842	1583.18974460405	1460.67052737985	1642.63035784446	1739.64996079467	1589.8400254094	1723.17125917229	1688.74787631828
DNHD1	Dnhd1	ENSMUSG00000030882	245.144633604288	267.18494150313	261.17717855267	242.309700872853	351.275924760201	297.655963038933	245.827543170684	173.274016453727	166.212100038472	206.875254049592	185.952207074732	349.714807749579	286.609914664369	190.183299481016	265.844131705798	187.072520948559
NPY	Npy	ENSMUSG00000029819	1766.94495268598	1737.9234973109	1859.50157694362	2031.08264300641	1848.78166851327	1629.56267579056	1630.79936640607	1679.1332251736	1452.95916470174	1572.11782269056	1499.52662382744	1899.83279017249	1767.87698965072	1871.61511609952	2115.91137817874	1907.54975182411
TNKS1BP1	Tnks1bp1	ENSMUSG00000033955	2286.86380236587	1832.38425256531	1860.58705679147	2334.86808947808	2366.99089763096	1549.49673483163	2654.35476545045	2920.01743082402	2102.46903525019	2436.00027327287	2728.97460218897	1969.8883523262	2430.22133112168	2290.6797441879	2198.8099847107	2627.21448485762
