HGNC	Mouse symbol	EnsembleID	baseMean	log2FC.HT	FC.HT	p-value.HT	adjusted p-value.HT	log2FC.HM	FC.HM	p-value.HM	adjusted p-value.HM
ST8SIA2	St8sia2	ENSMUSG00000025789	158.613559294654	0.941642613588857	1.92071386707294	5.68468478956419e-08	0.000502099784038257	0.88675168273103	1.84900827676529	4.12019284880391e-06	0.00236399616590511
SHANK2	Shank2	ENSMUSG00000037541	4294.465230018	-0.543038938435295	-1.45703843893188	1.64082715414793e-07	0.000966173722600772	-1.24236540208373	-2.36586114382664	8.86393670195782e-27	1.47487042783876e-22
LFNG	Lfng	ENSMUSG00000029570	501.955624592274	-0.464427029462222	-1.37976926518375	4.63973883646496e-06	0.0170579793144872	-0.212324339254194	-1.1585532368793	0.0593884913874768	0.52153463977931
CEP350	Cep350	ENSMUSG00000033671	1691.29520218551	0.263439953438979	1.20033737243111	4.82818548386277e-06	0.0170579793144872	-0.0846681388426693	-1.06044378088496	0.189188852457797	0.734131711881089
LRRC47	Lrrc47	ENSMUSG00000029028	1215.27287562167	0.203383759768559	1.15139572416393	7.51380760255493e-06	0.0221219018831888	0.191837633340568	1.14221768987574	0.000152367136323765	0.030351879931708
SST	Sst	ENSMUSG00000004366	3097.77008623523	-0.226306833798556	-1.16983643955927	1.57421993118856e-05	0.0397265644063513	-0.193931148716041	-1.14387638146081	0.000900360794184882	0.0825448203203395
CD84	Cd84	ENSMUSG00000038147	84.4061166264811	-0.852101812708643	-1.80512884052381	2.36235545174601e-05	0.0521637613188666	-0.271283215995126	-1.2068808196855	0.220611416357791	0.752975047544059
NDUFB7	Ndufb7	ENSMUSG00000033938	951.130681896212	-0.211325535756605	-1.15775142740392	3.48833464218767e-05	0.0616214314542453	-0.105994033781505	-1.07623567403691	0.0607306777681345	0.526849711879035
MYL4	Myl4	ENSMUSG00000061086	372.987990378569	-0.394596602337531	-1.31457513526165	7.80219302880525e-05	0.114854783211537	-0.586543037228318	-1.50164421712756	1.65540550235142e-07	0.000229535767946877
FAM43A	Fam43a	ENSMUSG00000046546	292.885326501153	-0.342311346969658	-1.26778609251029	9.18104893357086e-05	0.124756330316561	-0.419743748480916	-1.33768993317359	1.78300227653533e-05	0.00659274997317141
BRCA2	Brca2	ENSMUSG00000041147	141.575691262666	0.744621252160326	1.6755343369174	0.000127080482158037	0.160348336951552	0.607411391662041	1.52352311795774	0.00532505331910605	0.199577610387919
TBC1D17	Tbc1d17	ENSMUSG00000038520	984.572441392592	-0.207831275284237	-1.15495070394457	0.00018269549641392	0.204610157935024	-0.100380706616334	-1.07205632556581	0.105206989965739	0.631379845309655
LGALS1	Lgals1	ENSMUSG00000068220	219.601828478588	-0.388518934711842	-1.30904884920728	0.000185324796318165	0.204610157935024	-0.207615731265898	-1.15477816289251	0.0697841999726489	0.552300754435314
MT-ND4L	mt-Nd4l	ENSMUSG00000065947	28329.001783996	-0.441710346837196	-1.35821356554769	0.000201712831808365	0.20960336317028	-0.0851000164369848	-1.06076127727358	0.520948378244382	0.908183540983719
C1QTNF9B	C1qtnf9	ENSMUSG00000071347	9.6643826085233	-1.49975001167689	-2.82793706102721	0.00022358178741011	0.219420681922199	-0.697344397671867	-1.62151727938028	0.0903357396186809	0.600614239680827
GALNT15	Galnt15	ENSMUSG00000021903	154.054133879012	-0.78686398565266	-1.72532002176309	0.000268399356814442	0.245614067081109	-0.800469332847728	-1.74166762807622	0.000902888232363832	0.0825448203203395
CD4	Cd4	ENSMUSG00000023274	16.7458823989156	1.20325254138241	2.30258201055503	0.000278567263277241	0.245614067081109	-0.385014842004608	-1.30587322144345	0.35289568075308	0.83952640700622
ZNF705A	Clec4a1	ENSMUSG00000049037	7.44351825003764	-1.72125916465859	-3.29724060045119	0.000297967314962566	0.245614067081109	NA	NA	NA	NA
ATOX1	Atox1	ENSMUSG00000018585	351.956590273843	-0.326586782789787	-1.25404296965833	0.000305887884278766	0.245614067081109	-0.151221762511506	-1.11050952143651	0.130483036752025	0.669888074210718
ELOB	Elob	ENSMUSG00000055839	1629.38754255605	-0.153472708308378	-1.11224353156525	0.000353768018317435	0.249084593754752	-0.0113602776478211	-1.00790542860763	0.811306029863515	0.970011457488581
DNHD1	Dnhd1	ENSMUSG00000030882	245.144633604288	-0.536037055877932	-1.44998407549863	0.0003864163454117	0.249084593754752	-0.152957065170984	-1.11184606831265	0.363846710842039	0.843518061160571
NPY	Npy	ENSMUSG00000029819	1766.94495268598	-0.21673232690578	-1.1620984754237	0.00040073102745386	0.249084593754752	0.0710657772935633	1.05049243838368	0.295258974198594	0.807940172982384
TNKS1BP1	Tnks1bp1	ENSMUSG00000033955	2286.86380236587	0.369686697693324	1.29207220781012	0.000415302674656948	0.249084593754752	0.2126224448193	1.15879265466494	0.0687632505213585	0.551132815715262
ELFN1	Elfn1	ENSMUSG00000048988	685.379986961448	-0.27842007590651	-1.21286592319591	0.000444135785191646	0.249084593754752	-0.0881576005945127	-1.06301179185765	0.315807360487586	0.81861951568047
HELLS	Hells	ENSMUSG00000025001	97.9094089677356	0.81236051998937	1.75608237381276	0.000455370843706948	0.249084593754752	0.252634575692483	1.19138076814841	0.329790459536421	0.828743057603681
ADAMTSL4	Adamtsl4	ENSMUSG00000015850	127.058540373826	0.760858624539372	1.69449881103621	0.000490729358155084	0.249084593754752	0.0126455634462095	1.00880376382041	0.958588225026314	0.993527787249114
ZBTB4	Zbtb4	ENSMUSG00000018750	4165.90908758814	0.132252074767463	1.09600324879261	0.000507627470637484	0.249084593754752	0.0367535469809789	1.02580289429099	0.386188399149192	0.855392791538683
