Mouse symbol	Group	log2FC	Significance.level
Shank2	old	-1.27025932630231	1.5
Shank2	new	-1.24236540208373	1.5
Ccnd1	old	-1.37155617058336	1.5
Ccnd1	new	-0.724361022683015	1.5
Krt80	old	-1.2693006651466	1.5
Krt80	new	-1.18741752752541	1.5
Stac2	old	-0.306805776800414	1.5
Stac2	new	-0.39607326331606	1.5
Myl4	old	-0.525422357012562	1.5
Myl4	new	-0.586543037228318	1.5
St8sia2	old	0.849532043751802	1.5
St8sia2	new	0.88675168273103	1.5
Igfbp4	old	-0.566787840205007	1.5
Igfbp4	new	-0.412765373565014	1.5
Pvalb	old	-0.468018075120019	1.5
Pvalb	new	-0.55764200913424	1.5
Tpcn2	old	-0.966849711303873	1.5
Tpcn2	new	-0.901703295444579	1
Rph3a	old	-0.201828013409685	1.5
Rph3a	new	-0.329809675697045	1.5
Adamtsl5	old	-0.677543937210342	1.5
Adamtsl5	new	-0.738457696444215	1.5
Scn7a	old	0.52277371617758694	1.5
Scn7a	new	0.560872001342292	1.5
Chrnb3	old	-1.34238457721033	1.5
Chrnb3	new	-1.68301404852445	1.5
Nnat	old	0.278702718196985	1.5
Nnat	new	0.799450697875697	1.5
Hcrtr1	old	-0.935179830355164	1.5
Hcrtr1	new	-0.872806255684782	1
Hrk	old	0.342910733748286	1.5
Hrk	new	0.510429753346563	1.5
Vip	old	0.314747528864766	1.5
Vip	new	0.360005800296671	1
Diras2	old	-0.248767151358733	1
Diras2	new	-0.343881107296385	1.5
Synpr	old	0.299067810172758	1
Synpr	new	0.377268094832708	1.5
Col1a2	old	-0.428128649250316	1
Col1a2	new	0.319529446092983	1
Klhl33	old	-0.460791696098261	1
Klhl33	new	-0.541181183120803	1
Col15a1	old	-0.635323329856214	1
Col15a1	new	-0.969564963384265	1.5
Nrp2	old	0.279274368412615	1
Nrp2	new	0.355029989292709	1
Crhbp	old	-0.40170930959377	0.5
Crhbp	new	-0.592904984800019	1
Kndc1	old	-0.213494013574683	0.5
Kndc1	new	-0.268291889809593	1
Kcns3	old	-0.405603353753546	0.5
Kcns3	new	-0.508178502904977	1.5
Zfp57	old	0.421586623466321	0.5
Zfp57	new	0.642307194745423	1.5
Dtl	old	0.358167127306492	0.5
Dtl	new	0.57617148216405	1.5
Lynx1	old	-0.20149327813944	1.5
Lynx1	new	-0.202180023242065	0.5
Crh	old	0.643588251222824	1.5
Crh	new	0.687668714051515	0.5
Nefh	old	-0.307097526091575	1.5
Nefh	new	-0.384953332106926	0.5
Fam163b	old	-0.20321076313266	1.5
Fam163b	new	-0.178092649783341	0.5
Sst	old	-0.282655491639122	1.5
Sst	new	-0.193931148716041	0.5
Pcp4	old	-0.358419970277626	1
Pcp4	new	-0.266385178823492	0.5
Kif26b	old	0.390163536289822	1
Kif26b	new	0.44675123168156	0.5
Kcnc1	old	-0.151962671463846	0
Kcnc1	new	-0.240181428960272	1
Lamb1	old	0.347888762480725	0
Lamb1	new	0.601657462912755	1.5
Pitpnc1	old	-0.207686276559629	0
Pitpnc1	new	-0.233294937189968	1
Cdh13	old	0.218983071847833	0
Cdh13	new	0.410321130726915	1
Clcc1	old	-0.186415425042682	0
Clcc1	new	-0.28154278244341	1
Hsph1	old	0.174991361262862	0
Hsph1	new	0.327096798442761	1
Slc6a1	old	-0.121929862290932	0
Slc6a1	new	-0.220035136873298	1.5
Pdyn	old	0.255411695959334	0
Pdyn	new	0.286521045782941	1
Ache	old	-0.180647697423407	0
Ache	new	-0.200577167042113	1
Zcchc12	old	0.159589970074101	0
Zcchc12	new	0.387043291566776	1.5
Lypd1	old	0.210310711022723	0
Lypd1	new	0.53406812940262	1.5
Ypel1	old	0.231567618293041	0
Ypel1	new	0.310541150485457	1
Rspo1	old	-0.540212987001299	0
Rspo1	new	-0.823607824225064	1
Baalc	old	0.079698188765924	0
Baalc	new	0.165386299247713	1.5
Fam43a	old	-0.221438862563063	0
Fam43a	new	-0.419743748480916	1.5
Cpne6	old	0.189176464542194	0
Cpne6	new	0.404545085896183	1
4930453N24Rik	old	0.179919657478985	0
4930453N24Rik	new	0.352490171894972	1.5
Cyp26b1	old	0.296608681018933	0
Cyp26b1	new	1.08521472656586	1
Kctd4	old	0.194736339867713	0
Kctd4	new	0.400010291062713	1
Dmxl2	old	0.111512544775284	0
Dmxl2	new	-0.268348139818561	1.5
Hsbp1	old	0.100457621917826	0
Hsbp1	new	0.176746341751834	1
Arpp21	old	0.141102080859739	0
Arpp21	new	0.286511293521423	1.5
Sema5a	old	-0.230571213955248	0
Sema5a	new	-0.415065228756822	1
Abcc8	old	-0.130447369503692	0
Abcc8	new	-0.477314138785082	1.5
Dlk1	old	0.77995965326468	0
Dlk1	new	1.94278725382194	1
Ccdc3	old	0.215452467071896	0
Ccdc3	new	0.752445554814249	1.5
Slc24a2	old	-0.184728890847455	0
Slc24a2	new	-0.509822475008084	1
Lrpap1	old	0.0903363492759268	0
Lrpap1	new	0.237905389888	1.5
Col23a1	old	0.202074434252352	0
Col23a1	new	0.590770567406195	1.5
Smoc2	old	0.268288992185226	0
Smoc2	new	0.849395513040504	1.5
Ablim3	old	0.11289688855424	0
Ablim3	new	0.224838985387021	1
Inhba	old	0.18177924463881	0
Inhba	new	0.572510417553539	1
Clstn2	old	-0.151000549910293	0
Clstn2	new	-0.361281045056318	1
Arrdc2	old	-0.383786925869819	0
Arrdc2	new	-0.912923450897476	1.5
Cfap100	old	-0.256906497606524	0
Cfap100	new	0.55814635637678	1
Scn4b	old	-0.402256695903583	0
Scn4b	new	-0.436144886517755	1
Pcdhgb7	old	-0.112689352756139	0
Pcdhgb7	new	-0.42773068160715	1
Wfs1	old	0.133264511951758	0
Wfs1	new	0.437815333303561	1
Ido2	old	-0.293869521749355	0
Ido2	new	-0.843531483076751	1
Mypn	old	-0.21465140251816	0
Mypn	new	-0.657290798127007	1
Pnrc1	old	0.108342296945564	0
Pnrc1	new	0.260474283470886	1
Herc6	old	0.110116627173974	0
Herc6	new	-0.316944026736825	1
Lztr1	old	0.0766215189668366	0
Lztr1	new	0.207343199199029	1
Fosb	old	0.117807100552962	0
Fosb	new	0.603179452798846	1.5
Gm13889	old	0.122262173151779	0
Gm13889	new	0.475173194553877	1
Pdxp	old	-0.0425827462596547	0
Pdxp	new	0.130224443211265	1.5
Fkbp1a	old	0.0315358287081691	0
Fkbp1a	new	0.19247717434079	1.5
Emp1	old	-0.221564379345915	0
Emp1	new	0.764432488683125	1
Rfxap	old	0.086740601373093	0
Rfxap	new	0.462957503878937	1.5
Rsph10b	old	-0.119036955681653	0
Rsph10b	new	-0.396135003565838	1
Kcnt2	old	0.0577004200554479	0
Kcnt2	new	-0.368064129018434	1
Sh3bgrl3	old	-0.0512250747555295	0
Sh3bgrl3	new	0.237897188403102	1.5
Ly6h	old	0.0388097525448545	0
Ly6h	new	0.357563784632428	1.5
Pcdha9	old	-0.163463665277278	0
Pcdha9	new	-0.775081917207685	1.5
Rtn4rl2	old	-0.0630322464843646	0
Rtn4rl2	new	0.330118613874897	1
Grcc10	old	0.0415073078418375	0
Grcc10	new	0.251312883496144	1
Tmem100	old	-0.106395255058295	0
Tmem100	new	0.409238025786237	1
Xpot	old	0.0638795928354786	0
Xpot	new	0.313051835094711	1
Erich3	old	0.0487127101103936	0
Erich3	new	-0.345449101162048	1
Olfm3	old	-0.0511673722490248	0
Olfm3	new	-0.486354008838861	1
Wnt2b	old	-0.100031404631085	0
Wnt2b	new	-1.27533902631635	1
Focad	old	-0.0412369473922655	0
Focad	new	-0.336610899355549	1
Utrn	old	-0.0346122269227662	0
Utrn	new	-0.259377091856249	1
Pkhd1l1	old	0.253200601469784	0
Pkhd1l1	new	2.98766631766137	1
Arl2bp	old	0.0182556998271781	0
Arl2bp	new	0.14048425847414	1
Tll2	old	0.106501755890537	0
Tll2	new	1.43951135310978	1
Tmem9	old	-0.0216357890292999	0
Tmem9	new	0.243618252770326	1
Adcy1	old	-0.0166204217634767	0
Adcy1	new	-0.294197935058184	1.5
Ifit2	old	-0.0331995169323095	0
Ifit2	new	-0.414310062532169	1
Pcgf5	old	0.0257419786175187	0
Pcgf5	new	-0.379071368361208	1.5
Kif1a	old	-0.0115640731192649	0
Kif1a	new	-0.166393223097445	1
Itga3	old	0.019591683417305	0
Itga3	new	-0.331357179325201	1
Lrrc47	old	0.0101748908539111	0
Lrrc47	new	0.191837633340568	1
Pclo	old	-0.00525176775643971	0
Pclo	new	-0.174907610709278	1
Th	old	0.025398491049562	0
Th	new	1.05531513062587	1
Ergic3	old	-0.00476722808716089	0
Ergic3	new	0.245600624131938	1
Cdhr1	old	-0.00453305929306004	0
Cdhr1	new	1.32840503872979	1
Fat1	old	0.00103577454097389	0
Fat1	new	0.392459163229836	1.5
Slc22a2	old	-0.00241797420055262	0
Slc22a2	new	1.21138135449474	1.5
Rpl13	old	-0.488929716243593	1.5
Rpl13	new	-0.0680611673089194	0
Vamp1	old	-0.380520348246416	1.5
Vamp1	new	-0.336791267508132	0
Rps13	old	-0.334659523912236	1.5
Rps13	new	-0.0482472107659221	0
Rpl13a	old	-0.272130549192652	1.5
Rpl13a	new	-0.114477482673367	0
Rpl35a	old	-0.248081807682839	1.5
Rpl35a	new	0.0302404089848624	0
Cplx1	old	-0.328486119185796	1.5
Cplx1	new	-0.197244057189664	0
Rps8	old	-0.227205265026991	1.5
Rps8	new	-0.120382308569266	0
Kcnip3	old	-0.247045367849911	1.5
Kcnip3	new	-0.10511235571087	0
Rpl27	old	-0.433371114878072	1.5
Rpl27	new	-0.148887314467314	0
Tmbim1	old	-0.402927382574516	1.5
Tmbim1	new	0.157642522875104	0
Myl12b	old	-0.290337334999127	1.5
Myl12b	new	0.134948421631152	0
Rpl8	old	-0.212001674063069	1.5
Rpl8	new	-0.0857036856624231	0
Efhd2	old	-0.220051183457595	1.5
Efhd2	new	-0.0581550299138518	0
Scrt1	old	-0.219270147327646	1.5
Scrt1	new	-0.140242294313639	0
Prrt2	old	-0.224745107957369	1.5
Prrt2	new	-0.0144923844471939	0
Alcam	old	0.205518516591051	1.5
Alcam	new	0.0357753665781908	0
Epha5	old	0.246022964070653	1.5
Epha5	new	0.0431847980006137	0
Acp7	old	-1.773204121012	1.5
Acp7	new	-0.250758291304239	0
Pink1	old	-0.206580866698953	1.5
Pink1	new	-0.07839576793721	0
Fau	old	-0.246875689888771	1.5
Fau	new	-0.0704721930903555	0
Inf2	old	-0.389151613267511	1.5
Inf2	new	-0.287023688357348	0
Acvr2a	old	0.26182596593869	1.5
Acvr2a	new	0.0943611989603544	0
Rps24	old	-0.196846822459133	1.5
Rps24	new	0.0183341903512401	0
Trnp1	old	-0.238114113095387	1.5
Trnp1	new	-0.034942903016891	0
Ak4	old	0.494352190049781	1.5
Ak4	new	0.350164036189106	0
Cox8a	old	-0.246336862505714	1.5
Cox8a	new	0.0680443913646806	0
Rplp1	old	-0.30155177194756	1.5
Rplp1	new	0.019595934959426	0
Rhog	old	-0.489645890833376	1.5
Rhog	new	-0.233010299023053	0
Pnkd	old	-0.174727158330055	1.5
Pnkd	new	-0.0603728070018835	0
Rps23	old	-0.243629577682518	1.5
Rps23	new	0.132285880156498	0
Rpl24	old	-0.209435838735843	1.5
Rpl24	new	-0.0660645429525158	0
Tmem254a	old	-1.31311660102897	1.5
Tmem254a	new	0.239614266743081	0
